deso_kod,tenure_type,n_grid_cells,RutStorl,w_30,Ar30_34,Ar35_39,Ar40_44,Ar45_49,Ar50_54,Ar55_59,Ar60,Ar61,Ar62,Ar63,Ar64,Ar65,Ar66,Ar67,Ar68,Ar69,Ar70,Ar71,Ar72,Ar73,Ar74,Ar75,Ar76,Ar77,Ar78,Ar79,Ar80,Ar81_85,Ar86_90,Ar91_95,Ar96_00,Ar01_05,Ar06_10,Ar11_w,UppgSakn,Totalt,Ar65_74,Ar55_64,Ar75_85,Ar60_64,Ar75_79,Shape_Length,Shape_Area
1486A0010,rental,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,36.0,0.0,0.0,0.0,52.0,0,0.0,0,0.0,0.0,19999.94679999724,4999973.40002996
1427A0020,rental,7,14.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,17.0,13.0,0.0,0.0,0.0,16.0,0.0,87.0,20,0.0,15,0.0,3.0,6999.98599999398,437498.2500003875
1435A0030,rental,7,12.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,14.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,14.0,0.0,0.0,0.0,0.0,14.0,206.0,64,0.0,0,0.0,0.0,12999.977600002661,2312489.2500085975
1486C1010,rental,7,14.0,190.0,13.0,14.0,9.0,45.0,78.0,93.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,48.0,0.0,17.0,0.0,0.0,61.0,0.0,792.0,0,303.0,14,210.0,3.0,7000.025200003758,437503.1499514598
1486C1030,rental,8,16.0,18.0,4.0,0.0,4.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,101.0,0.0,0.0,0.0,545.0,370,30.0,0,0.0,0.0,8000.028199994937,500003.5249801971
1486C1020,rental,4,8.0,10.0,0.0,0.0,4.0,59.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,53.0,60.0,0.0,41.0,0.0,0.0,0.0,265.0,0,26.0,12,0.0,0.0,4000.009400004521,250001.1749770951
1486C1040,rental,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,24,0.0,0,0.0,0.0,5999.992600003257,1124995.1750037258
1427A0010,rental,9,18.0,0.0,6.0,0.0,3.0,8.0,3.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.0,0.0,0.0,16.0,0.0,0.0,105.0,0,17.0,0,17.0,0.0,9000.032199997455,562504.0250135718
1427C1010,rental,10,18.0,0.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,24.0,0.0,15.0,0.0,0.0,0.0,70.0,0.0,44.0,0.0,24.0,29.0,0.0,0.0,0.0,0.0,63.0,337.0,87,10.0,114,10.0,70.0,16000.011199997738,2499993.524975462
1427A0030,rental,4,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,40.0,0,0.0,3,0.0,3.0,15999.974200000986,3999987.0999952834
1435A0040,rental,3,3.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0,0.0,7,0.0,0.0,12000.005200002342,3000002.599973321
1486A0030,rental,2,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5,0.0,0,0.0,0.0,7999.995400002226,1999997.6999836632
1435B2010,rental,9,18.0,26.0,4.0,6.0,3.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,9.0,6.0,35.0,32.0,0.0,0.0,243.0,51,29.0,0,0.0,0.0,9000.008599990979,562501.0749717124
1435A0010,rental,5,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,70.0,0.0,0.0,0.0,6.0,0.0,27.0,156.0,28,5.0,14,5.0,0.0,7999.97879999876,1249993.3750079612
1427B2010,rental,19,37.0,11.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,24.0,0.0,18.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,14.0,17.0,0.0,28.0,0.0,42.0,83.0,44.0,0.0,10.0,0.0,0.0,0.0,328.0,54,22.0,101,12.0,59.0,21999.917000001296,2124985.5750224106
1421A0020,rental,12,19.0,15.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,22.0,35.0,0.0,0.0,12.0,0.0,0.0,100.0,0,0.0,8,0.0,0.0,26999.99360000156,5437502.124980993
1486A0020,rental,2,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,0.0,40.0,0.0,74.0,0,0.0,13,0.0,0.0,4999.999199995771,1062495.999999233
1435C1010,rental,9,18.0,0.0,0.0,0.0,0.0,0.0,8.0,36.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,16.0,34.0,16.0,12.0,25.0,0.0,26.0,0.0,0.0,20.0,20.0,0.0,0.0,38.0,61.0,6.0,0.0,0.0,0.0,0.0,0.0,348.0,129,66.0,78,30.0,40.0,8999.988799998537,562498.5999974071
1435A0020,rental,5,7.0,0.0,3.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0,0.0,11,0.0,11.0,13999.971600001678,3124984.7500161952
1484A0020,rental,2,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,0,0.0,0.0,7999.979200001806,1999989.600012803
1484A0010,rental,3,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,18.0,0,0.0,0,0.0,0.0,5999.992399999872,1124995.075002203
1484C1010,rental,5,10.0,50.0,0.0,0.0,27.0,31.0,0.0,25.0,0.0,0.0,0.0,6.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,106,31.0,0,6.0,0.0,4999.998800000176,312499.849996512
1484C1030,rental,6,12.0,91.0,7.0,0.0,13.0,0.0,0.0,34.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,198.0,0.0,136.0,0.0,24.0,0.0,0.0,0.0,0.0,14.0,0.0,12.0,33.0,0.0,0.0,0.0,0.0,0.0,664.0,418,52.0,38,18.0,24.0,5999.976200003177,374997.0250065871
1484C1040,rental,5,10.0,129.0,38.0,4.0,0.0,89.0,154.0,34.0,0.0,0.0,61.0,52.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,52.0,0.0,8.0,40.0,3.0,0.0,705.0,16,147.0,4,113.0,0.0,4999.9996000006795,312499.94999672496
1484C1020,rental,4,8.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,236,44.0,57,40.0,57.0,3999.9894000086933,249998.67500261666
1484C1050,rental,4,8.0,4.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,87,0.0,0,0.0,0.0,3999.989599995315,249998.70000069437
1421B3010,rental,8,15.0,4.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,29.0,8.0,0.0,0.0,0.0,0.0,0.0,136.0,31,0.0,52,0.0,52.0,11000.011400001124,1437504.949982829
1484B2010,rental,9,17.0,5.0,0.0,0.0,6.0,43.0,20.0,18.0,0.0,18.0,0.0,0.0,19.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,103.0,0.0,0.0,0.0,0.0,0.0,316.0,60,55.0,0,37.0,0.0,11999.98860000819,1500002.0999938322
1421A0050,rental,4,4.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,0,0.0,0,0.0,0.0,15999.990799997002,3999995.399964421
1484A0030,rental,2,2.0,0.0,10.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0,10.0,0,10.0,0.0,7999.979000002146,1999989.5000131428
1430A0020,rental,6,11.0,10.0,3.0,10.0,24.0,3.0,7.0,5.0,0.0,0.0,10.0,0.0,18.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,17.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,180.0,33,33.0,12,28.0,12.0,8999.971800012514,1312492.5000120206
1419C1020,rental,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0,0.0,0,0.0,0.0,999.9931999985129,62499.15000206411
1419C1040,rental,3,6.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7,0.0,0,0.0,0.0,2999.9962000008672,187499.52499922842
1419C1030,rental,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,105.0,14.0,0.0,0.0,0.0,0.0,0.0,126.0,0,0.0,7,0.0,7.0,3000.01259999536,187501.57499115996
1419B3010,rental,1,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0.0,0,0.0,0.0,4000.025799997151,1000012.9000401754
1482B4010,rental,10,20.0,45.0,0.0,0.0,0.0,3.0,4.0,61.0,0.0,0.0,0.0,0.0,6.0,0.0,18.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,4.0,33.0,4.0,0.0,0.0,0.0,0.0,214.0,38,67.0,16,6.0,6.0,9999.965599998832,624995.700006914
1419C1010,rental,3,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,49,0.0,0,0.0,0.0,2999.9964000005275,187499.54999909594
1430A0030,rental,6,12.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,10.0,36.0,0.0,3.0,0.0,0.0,0.0,0.0,138.0,33,16.0,47,0.0,37.0,5999.991999993101,374998.99999787763
1407C1020,rental,4,8.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,0,0.0,0,0.0,0.0,3999.98939999938,249998.6750014525
1407C1040,rental,4,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,42.0,0,0.0,27,0.0,0.0,4000.0059999953955,250000.74999348447
1407C1010,rental,4,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3,0.0,8,0.0,0.0,3999.9728000052273,249996.60000965343
1485A0030,rental,1,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0.0,0,0.0,0.0,3999.9894000012428,999994.7000067413
1435A0050,rental,3,3.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,8,0.0,0,0.0,0.0,12000.021399999037,3000010.700024319
1407C1030,rental,4,8.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,26.0,0,3.0,0,0.0,0.0,4000.005999997258,250000.7499937173
1407A0010,rental,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0,0.0,0,0.0,0.0,999.9932000003755,62499.15000229694
1407A0020,rental,4,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,39.0,0.0,0.0,0.0,0.0,71.0,0,0.0,0,0.0,0.0,3999.9728000052273,249996.6000096534
1407A0030,rental,2,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0.0,0,0.0,0.0,1999.9863999988884,124998.30000436105
1407C1050,rental,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.0,9.0,0.0,0.0,0.0,0.0,45.0,0,0.0,0,0.0,0.0,2999.999599998817,187499.9499816021
1419A0020,rental,4,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,16.0,16.0,30.0,0.0,0.0,4.0,0.0,0.0,91.0,16,0.0,21,0.0,5.0,6999.9861999973655,1187494.3750055693
1421A0030,rental,1,1.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0,0.0,0,0.0,0.0,4000.009600000456,1000004.799989178
1421C1010,rental,6,11.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,12.0,0.0,8.0,0.0,39.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,100.0,75,0.0,16,0.0,16.0,8999.988800004125,1312494.6250024247
1430A0010,rental,6,6.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,40.0,0,0.0,0,0.0,0.0,23999.99680000171,5999998.399985416
1419A0010,rental,1,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0,0.0,0.0,3999.9894000012428,999994.7000067413
